,Venue Category,Street,0
302,Food Place,Rolderdiephof,6
303,Food Place,Rubenslaan,2
304,Food Place,Springweg,22
305,Food Place,Stationsstraat,43
306,Food Place,Steenweg,41
307,Food Place,Tolsteegplantsoen,9
308,Food Place,Tolsteegsingel,8
309,Food Place,Trumanlaan,2
310,Food Place,Van Heuven Goedhartlaan,3
311,Food Place,Van Humboldtstraat,8
312,Food Place,Van Kleffenslaan,3
313,Food Place,Van Lidth de Jeudestraat,17
314,Food Place,Van Vollenhovenlaan,2
315,Food Place,Van der Helststraat,4
316,Food Place,Vinkenburgstraat,39
317,Food Place,Vondellaan,5
318,Food Place,Voorsterbeeklaan,6
319,Food Place,Voorstraat,40
320,Food Place,Vredenburg,40
321,Food Place,Wagendwarsstraat,9
322,Food Place,Wageningseberg,1
323,Food Place,Wagenstraat,11
324,Food Place,Weerdsingel O.Z.,19
325,Food Place,Willem Barentszstraat,6
326,Food Place,Willem van Noortplein,8
327,Food Place,Wittevrouwensingel,17
328,Food Place,Wolter Heukelslaan,9
329,Food Place,Wolvenplein,24
330,Food Place,Zakkendragershof,40
331,Food Place,Zuilenstraat,20
332,Lodging Place,2e Buurkerksteeg,3
333,Lodging Place,3e Buurkerksteeg,3
334,Lodging Place,Achter St.-Pieter,3
335,Lodging Place,Adelaarstraat,1
336,Lodging Place,Andreashof,2
337,Lodging Place,Bellamystraat,3
338,Lodging Place,Biltstraat,1
339,Lodging Place,Buurkerkhof,3
340,Lodging Place,Buys Ballotstraat,1
341,Lodging Place,Carry van Bruggenstraat,1
342,Lodging Place,Domstraat,3
343,Lodging Place,Duifstraat,3
344,Lodging Place,Eligenhof,1
345,Lodging Place,Emmalaan,1
346,Lodging Place,Geertekerkhof,1
347,Lodging Place,Geertestraat,1
348,Lodging Place,Hartingstraat,1
349,Lodging Place,Hollandse Toren,4
350,Lodging Place,Jacobijnenstraat,4
351,Lodging Place,Janskerkhof,3
352,Lodging Place,Jansveld,4
353,Lodging Place,Jeruzalemstraat,2
354,Lodging Place,Justus van Effenstraat,1
355,Lodging Place,Korte Jansstraat,3
356,Lodging Place,Korte Jufferstraat,3
357,Lodging Place,Lange Jufferstraat,3
358,Lodging Place,Lange Nieuwstraat,1
359,Lodging Place,Lange Smeestraat,1
360,Lodging Place,Moreelsehoek,3
361,Lodging Place,Neude,4
362,Lodging Place,Nicolaas Beetsstraat,1
363,Lodging Place,Nieuwe Koekoekstraat,2
364,Lodging Place,Nieuwegracht,3
365,Lodging Place,Nieuwekade,2
366,Lodging Place,Nobelstraat,3
367,Lodging Place,Olof Palmelaan,1
368,Lodging Place,Oudegracht,2
369,Lodging Place,Oudegracht aan de Werf,2
370,Lodging Place,Oudkerkhof,3
371,Lodging Place,Oudwijkerveldstraat,1
372,Lodging Place,Parkstraat,1
373,Lodging Place,Ridderschapstraat,2
374,Lodging Place,Springweg,2
375,Lodging Place,Stationsstraat,1
376,Lodging Place,Steenweg,3
377,Lodging Place,Van Heuven Goedhartlaan,1
378,Lodging Place,Van Humboldtstraat,1
379,Lodging Place,Van Kleffenslaan,1
380,Lodging Place,Vinkenburgstraat,4
381,Lodging Place,Voorstraat,4
382,Lodging Place,Vredenburg,4
383,Lodging Place,Weerdsingel O.Z.,3
384,Lodging Place,Willem Barentszstraat,1
385,Lodging Place,Wittevrouwensingel,1
386,Lodging Place,Wolter Heukelslaan,1
387,Lodging Place,Wolvenplein,1
388,Lodging Place,Zakkendragershof,4
389,Lodging Place,Zuilenstraat,1
390,Shop,2e Buurkerksteeg,20
391,Shop,3e Buurkerksteeg,18
392,Shop,Abstederdijk,9
393,Shop,Achter St.-Pieter,18
394,Shop,Adelaarstraat,1
395,Shop,Adriaanstraat,7
396,Shop,Adriaen van Ostadelaan,2
397,Shop,Agnietenstraat,8
398,Shop,Albert van Dalsumlaan,1
399,Shop,Alkhof,7
400,Shop,Andreashof,15
401,Shop,Arthur van Schendelstraat,8
