Postcode_Number,District, District_latitude, District_longitue,Neighbourhood,Neigh_latitude,Neigh_longitude,Zipcode,Street,Latitude,Longitude
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981LE,Kerseboomgaard,52.06565276,5.194388602
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981LD,Kerseboomgaard,52.0654113,5.194790684
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981LC,Victorialaan,52.06534289,5.195214802
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981LB,Regulierenring,52.06405065,5.191439906
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981LA,Regulierenring,52.06381897,5.190976932
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981KK,Kampweg,52.07060855,5.196325981
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981KJ,Kampweg,52.07047302,5.197409717
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981KH,Willem van Kouwenerf,52.07098193,5.197385122
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981KG,Hanna Lampad,52.07078855,5.198230004
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981KE,Het Slot,52.06817853,5.20028159
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981KD,Het Slot,52.0681926,5.200251522
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981KC,Het Slot,52.06824716,5.201257588
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981KB,Het Slot,52.06783168,5.200315264
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981KA,Het Slot,52.06798414,5.201056792
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981JJ,Gildenring,52.07098461,5.18807704
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981JG,Gildenring,52.07136501,5.187756185
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981JE,Gildenring,52.07129736,5.189094271
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981JD,Gildenring,52.0714139,5.188505078
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981JC,Steven de Witplein,52.07168521,5.190505714
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981JA,Steven de Witplein,52.07150413,5.190195928
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981HZ,Baan van Fectio,52.06170167,5.205904495
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Verspreide huizen in het zuiden,52.05454154,5.183541125,3981HX,Tureluurweg,52.05743356,5.190418143
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Verspreide huizen in het zuiden,52.05454154,5.183541125,3981HW,Tureluurweg,52.05781365,5.188439208
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981HT,Vrumonaweg,52.06288928,5.205351795
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Verspreide huizen in het noorden,52.07168376,5.171362912,3981HS,Vossegatsedijk,52.07572794,5.170101435
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981HR,Tolhuislaan,52.06959844,5.207552247
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981HP,Sportlaan,52.06791437,5.209854164
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Verspreide huizen in het zuiden,52.05454154,5.183541125,3981HN,Rijsbruggerweg,52.04576363,5.190589294
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Vechten,52.06447103,5.172355303,3981HL,Bunkerpad,52.06479643,5.173957644
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Verspreide huizen in het zuiden,52.05454154,5.183541125,3981HK,Rijksweg A 12,52.06148272,5.179217846
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981HJ,Rijnsoever,52.07641391,5.188586017
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Verspreide huizen in het noorden,52.07168376,5.171362912,3981HH,Rhijnauwenselaan,52.06811074,5.177104836
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Verspreide huizen in het zuiden,52.05454154,5.183541125,3981HG,Parallelweg,52.05812835,5.205104858
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Verspreide huizen in het zuiden,52.05454154,5.183541125,3981HE,Marsdijk,52.05729667,5.164997955
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Verspreide huizen in het noorden,52.07168376,5.171362912,3981HD,Koningslaan,52.06771039,5.165591663
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981HC,Grotelaan,52.07243599,5.20035053
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Verspreide huizen in het zuiden,52.05454154,5.183541125,3981HB,Achterdijk,52.0581228,5.178978795
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Verspreide huizen in het zuiden,52.05454154,5.183541125,3981HA,Achterdijk,52.05877021,5.179839168
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981GZ,van Zijldreef,52.07022174,5.190559139
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981GX,van Zijldreef,52.068882,5.190722974
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981GW,van Zijldreef,52.06987362,5.189762557
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981GV,van Zijldreef,52.06835826,5.189989622
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981GT,Grunoplantsoen,52.06982627,5.192142813
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981GS,Grunoplantsoen,52.07003496,5.191577762
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981GR,Wethouder Schaaplaan,52.06910787,5.191851518
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981GP,Wethouder Schaaplaan,52.0687929,5.191866814
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981GN,Ds v d Kraanplantsoen,52.06838162,5.191946615
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981GM,Hoefijzerlaan,52.06744771,5.19384322
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981GL,Hoefijzerlaan,52.06717464,5.193235338
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981GK,Hoefijzerlaan,52.06726035,5.19447836
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981GJ,Pastoor Heggelaan,52.06888611,5.195027021
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981GH,Camminghalaan,52.06928739,5.196832769
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981GG,Camminghalaan,52.07315185,5.194186356
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981GE,Camminghalaan,52.07203145,5.194709907
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981GD,Camminghalaan,52.06969145,5.195597432
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981GC,J F Kennedylaan,52.06812612,5.19627776
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981GB,J F Kennedylaan,52.06734482,5.195805164
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981GB,De Gaarde,52.06734482,5.195805164
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981GA,J F Kennedylaan,52.06750482,5.199244653
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981EZ,IJssel de Schepperstraat,52.06827464,5.197850804
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981EX,Kampweg,52.07023662,5.197540528
