District, District_latitude, District_longitue, Neigbourhood, Neigh_latitude, Neigh_longitude
Wijk 07 Zuid,52.063542297166,5.1306123874396,Tolsteeg en Rotsoord,52.074413430141,5.1249430809309
Wijk 07 Zuid,52.063542297166,5.1306123874396,Oud Hoograven-Noord,52.0699387871,5.1203648520487
Wijk 07 Zuid,52.063542297166,5.1306123874396,Oud Hoograven-Zuid,52.063651114677,5.1161664496119
Wijk 07 Zuid,52.063542297166,5.1306123874396,Bokkenbuurt,52.072449116604,5.1313475842436
Wijk 07 Zuid,52.063542297166,5.1306123874396,Nieuw Hoograven-Noord,52.067804547787,5.1246617921744
Wijk 07 Zuid,52.063542297166,5.1306123874396,Nieuw Hoograven-Zuid,52.060538506187,5.1195473464023
Wijk 08 Zuidwest,52.071085068243,5.103246181215,Dichterswijk,52.080706004872,5.1114313048456
Wijk 08 Zuidwest,52.071085068243,5.103246181215,Rivierenwijk,52.073098610607,5.1152169684215
Wijk 08 Zuidwest,52.071085068243,5.103246181215,Bedrijvengebied Kanaleneiland,52.059682635996,5.105252928407
Wijk 08 Zuidwest,52.071085068243,5.103246181215,Transwijk-Zuid,52.071790622251,5.1055226803302
Wijk 08 Zuidwest,52.071085068243,5.103246181215,Transwijk-Noord,52.079505898032,5.0998134350452
Wijk 08 Zuidwest,52.071085068243,5.103246181215,Kanaleneiland-Zuid,52.068494911891,5.0966528929067
Wijk 08 Zuidwest,52.071085068243,5.103246181215,Kanaleneiland-Noord,52.076190153248,5.0891472417935
Wijk 09 Leidsche Rijn,52.089502264878,5.0599552900064,Bedrijventerrein De Wetering,52.109210896937,5.0479903807117
Wijk 09 Leidsche Rijn,52.089502264878,5.0599552900064,Terwijde-West,52.10583805205,5.0374078362199
Wijk 09 Leidsche Rijn,52.089502264878,5.0599552900064,Terwijde-Oost,52.102841654341,5.0501642907515
Wijk 09 Leidsche Rijn,52.089502264878,5.0599552900064,Het Zand-West,52.096770338596,5.039038211876
Wijk 09 Leidsche Rijn,52.089502264878,5.0599552900064,Het Zand-Oost,52.095739219674,5.0505023015673
Wijk 09 Leidsche Rijn,52.089502264878,5.0599552900064,Leidsche Rijn-Centrum,52.097384361586,5.0670468462994
Wijk 09 Leidsche Rijn,52.089502264878,5.0599552900064,Grauwaart,52.096011054785,5.0604415883816
Wijk 09 Leidsche Rijn,52.089502264878,5.0599552900064,Hoge Weide,52.090351655272,5.0694565374848
Wijk 09 Leidsche Rijn,52.089502264878,5.0599552900064,Leeuwesteyn,52.090152123083,5.0759811123299
Wijk 09 Leidsche Rijn,52.089502264878,5.0599552900064,Parkwijk-Noord,52.091255852753,5.0537282663968
Wijk 09 Leidsche Rijn,52.089502264878,5.0599552900064,Parkwijk-Zuid,52.088827737007,5.0603112166479
Wijk 09 Leidsche Rijn,52.089502264878,5.0599552900064,Langerak,52.084825942487,5.0618628832169
Wijk 09 Leidsche Rijn,52.089502264878,5.0599552900064,Rijnvliet,52.077818656058,5.065353140291
Wijk 10 Vleuten-De Meern,52.086724496023,5.0228014561487,Haarrijn,52.119325833776,5.0175293617293
Wijk 10 Vleuten-De Meern,52.086724496023,5.0228014561487,Haarzuilens en omgeving,52.11976223149,4.9905932389223
Wijk 10 Vleuten-De Meern,52.086724496023,5.0228014561487,Vleuten,52.108811160706,5.0119927377621
Wijk 10 Vleuten-De Meern,52.086724496023,5.0228014561487,Máximapark,52.099321507044,5.0272036563385
Wijk 10 Vleuten-De Meern,52.086724496023,5.0228014561487,Vleuterweide-West,52.097521412095,5.0015449448163
Wijk 10 Vleuten-De Meern,52.086724496023,5.0228014561487,Vleuterweide-Noord/Oost/Centrum,52.097036537962,5.0115337923966
Wijk 10 Vleuten-De Meern,52.086724496023,5.0228014561487,Vleuterweide-Zuid,52.090146519635,5.0071467808931
Wijk 10 Vleuten-De Meern,52.086724496023,5.0228014561487,Veldhuizen,52.081037100294,5.0152085832258
Wijk 10 Vleuten-De Meern,52.086724496023,5.0228014561487,De Meern-Noord,52.086858201478,5.0349232318672
Wijk 10 Vleuten-De Meern,52.086724496023,5.0228014561487,De Meern-Zuid,52.072997836321,5.0216341081821
Wijk 10 Vleuten-De Meern,52.086724496023,5.0228014561487,Bedrijvengebied Oudenrijn,52.075513767379,5.0497590281418
Wijk 10 Vleuten-De Meern,52.086724496023,5.0228014561487,Rijnenburg,52.053935014341,5.0496208857086
